Partido,Local,Visitante,Temporada,Puntos Local,Puntos Visitante,Puntos en zona Local,Puntos 2a oportunidad Local,Puntos en transición Local,Triples Local,Triples intentados Local,% triples Local,Tiros libres Local,Tiros libres intentados Local,% tiros libres Local,Puntos en zona Visitante,Puntos 2a oportunidad Visitante,Puntos en transición Visitante,Triples Visitante,Triples intentados Visitante,% triples Visitante,Tiros libres Visitante,Tiros libres intentados Visitante,% tiros libres Visitante,Puntos de media distancia Local,Puntos de media distancia Visitante,Puntos en zona Total,Puntos de media distancia Total,Puntos de 3 Total,Puntos tiros libres Total,Puntos en transición Total,Puntos Total,Triples intentados Total,Triples encestados Total
PHI vs. BOS,BOS,PHI,2020,117.0,109.0,38.0,18.0,18.0,9.0,27.0,0.333,36.0,45.0,0.8,42.0,14.0,24.0,12.0,33.0,0.364,13.0,20.0,0.65,34.0,42.0,80.0,76.0,63.0,49.0,42.0,226.0,60.0,21.0
UTA vs. NOP,NOP,UTA,2020,129.0,118.0,54.0,11.0,16.0,17.0,39.0,0.436,24.0,25.0,0.96,48.0,10.0,15.0,11.0,25.0,0.44,23.0,30.0,0.767,34.0,36.0,102.0,70.0,84.0,47.0,31.0,247.0,64.0,28.0
GSW vs. NYK,GSW,NYK,2020,104.0,119.0,44.0,11.0,7.0,9.0,38.0,0.237,29.0,39.0,0.744,50.0,14.0,19.0,11.0,24.0,0.458,32.0,41.0,0.78,22.0,26.0,94.0,48.0,60.0,61.0,26.0,223.0,62.0,20.0
PHI vs. BOS,BOS,PHI,2020,122.0,110.0,52.0,13.0,20.0,12.0,28.0,0.429,20.0,24.0,0.833,56.0,11.0,23.0,12.0,30.0,0.4,16.0,20.0,0.8,38.0,26.0,108.0,64.0,72.0,36.0,43.0,232.0,58.0,24.0
SAS vs. DAL,SAS,DAL,2020,117.0,122.0,40.0,14.0,15.0,12.0,28.0,0.429,23.0,30.0,0.767,50.0,9.0,10.0,14.0,39.0,0.359,18.0,20.0,0.9,42.0,40.0,90.0,82.0,78.0,41.0,25.0,239.0,67.0,26.0
CLE vs. BKN,CLE,BKN,2020,125.0,113.0,70.0,18.0,14.0,8.0,25.0,0.32,27.0,32.0,0.844,46.0,7.0,16.0,14.0,43.0,0.326,15.0,17.0,0.882,20.0,38.0,116.0,58.0,66.0,42.0,30.0,238.0,68.0,22.0
TOR vs. MIA,TOR,MIA,2020,101.0,81.0,36.0,12.0,15.0,17.0,40.0,0.425,6.0,9.0,0.667,44.0,6.0,12.0,7.0,31.0,0.226,8.0,10.0,0.8,42.0,22.0,80.0,64.0,72.0,14.0,27.0,182.0,71.0,24.0
PHX vs. DEN,DEN,PHX,2020,126.0,130.0,80.0,16.0,20.0,17.0,44.0,0.386,15.0,15.0,1.0,48.0,16.0,14.0,6.0,26.0,0.231,18.0,19.0,0.947,14.0,58.0,128.0,72.0,69.0,33.0,34.0,256.0,70.0,23.0
SAC vs. NYK,NYK,SAC,2020,103.0,94.0,56.0,25.0,0.0,12.0,34.0,0.353,15.0,21.0,0.714,48.0,6.0,15.0,5.0,22.0,0.227,17.0,25.0,0.68,20.0,24.0,104.0,44.0,51.0,32.0,15.0,197.0,56.0,17.0
CHA vs. CHI,CHI,CHA,2020,110.0,123.0,64.0,18.0,16.0,7.0,32.0,0.219,19.0,25.0,0.76,52.0,6.0,14.0,15.0,43.0,0.349,10.0,12.0,0.833,20.0,46.0,116.0,66.0,66.0,29.0,30.0,233.0,75.0,22.0
LAC vs. OKC,LAC,OKC,2020,120.0,106.0,56.0,16.0,10.0,10.0,33.0,0.303,24.0,25.0,0.96,52.0,4.0,5.0,14.0,42.0,0.333,10.0,13.0,0.769,30.0,30.0,108.0,60.0,72.0,34.0,15.0,226.0,75.0,24.0
IND vs. ORL,,,2020,120.0,118.0,,,,12.0,34.0,0.353,16.0,18.0,0.889,,,,17.0,37.0,0.459,15.0,24.0,0.625,,,,,87.0,31.0,,238.0,71.0,29.0
MIN vs. ATL,ATL,MIN,2020,98.0,116.0,44.0,18.0,7.0,8.0,32.0,0.25,10.0,12.0,0.833,56.0,11.0,12.0,15.0,35.0,0.429,25.0,30.0,0.833,36.0,20.0,100.0,56.0,69.0,35.0,19.0,214.0,67.0,23.0
BKN vs. MIA,BKN,MIA,2020,128.0,124.0,44.0,8.0,11.0,19.0,37.0,0.514,21.0,26.0,0.808,46.0,9.0,7.0,13.0,46.0,0.283,27.0,32.0,0.844,44.0,38.0,90.0,82.0,96.0,48.0,18.0,252.0,83.0,32.0
UTA vs. GSW,UTA,GSW,2020,127.0,108.0,48.0,13.0,10.0,20.0,50.0,0.4,17.0,22.0,0.773,40.0,5.0,8.0,14.0,39.0,0.359,10.0,15.0,0.667,42.0,44.0,88.0,86.0,102.0,27.0,18.0,235.0,89.0,34.0
MIN vs. NOP,MIN,NOP,2020,120.0,110.0,52.0,22.0,12.0,12.0,34.0,0.353,30.0,37.0,0.811,48.0,15.0,6.0,10.0,33.0,0.303,20.0,28.0,0.714,26.0,32.0,100.0,58.0,66.0,50.0,18.0,230.0,67.0,22.0
CHI vs. LAL,LAL,CHI,2020,90.0,101.0,54.0,9.0,13.0,8.0,25.0,0.32,16.0,22.0,0.727,42.0,14.0,15.0,4.0,19.0,0.211,25.0,31.0,0.806,12.0,30.0,96.0,42.0,36.0,41.0,28.0,191.0,44.0,12.0
DET vs. PHI,PHI,DET,2020,110.0,114.0,46.0,21.0,9.0,14.0,33.0,0.424,22.0,30.0,0.733,44.0,11.0,13.0,8.0,23.0,0.348,30.0,38.0,0.789,28.0,32.0,90.0,60.0,66.0,52.0,22.0,224.0,56.0,22.0
PHX vs. DEN,PHX,DEN,2020,112.0,120.0,32.0,7.0,12.0,16.0,53.0,0.302,14.0,18.0,0.778,42.0,18.0,16.0,15.0,36.0,0.417,25.0,32.0,0.781,50.0,38.0,74.0,88.0,93.0,39.0,28.0,232.0,89.0,31.0
