Partido,Local,Visitante,Temporada,Puntos Local,Puntos Visitante,Puntos en zona Local,Puntos 2a oportunidad Local,Puntos en transición Local,Triples Local,Triples intentados Local,% triples Local,Tiros libres Local,Tiros libres intentados Local,% tiros libres Local,Puntos en zona Visitante,Puntos 2a oportunidad Visitante,Puntos en transición Visitante,Triples Visitante,Triples intentados Visitante,% triples Visitante,Tiros libres Visitante,Tiros libres intentados Visitante,% tiros libres Visitante,Puntos de media distancia Local,Puntos de media distancia Visitante,Puntos en zona Total,Puntos de media distancia Total,Puntos de 3 Total,Puntos tiros libres Total,Puntos en transición Total,Puntos Total,Triples intentados Total,Triples encestados Total
LAL vs. PHX,LAL,PHX,2006,114.0,106.0,66.0,9.0,25.0,6.0,12.0,0.5,16.0,24.0,0.667,34.0,8.0,20.0,13.0,30.0,0.433,13.0,17.0,0.765,26.0,46.0,100.0,72.0,57.0,29.0,45.0,220.0,42.0,19.0
MIA vs. CHI,MIA,CHI,2006,66.0,108.0,26.0,2.0,6.0,3.0,17.0,0.176,13.0,22.0,0.591,36.0,18.0,21.0,7.0,13.0,0.538,23.0,32.0,0.719,24.0,42.0,62.0,66.0,30.0,36.0,27.0,174.0,30.0,10.0
MEM vs. NYK,,,2006,117.0,118.0,,,,6.0,21.0,0.286,27.0,45.0,0.6,,,,10.0,22.0,0.455,28.0,36.0,0.778,,,,,48.0,55.0,,235.0,43.0,16.0
NJN vs. TOR,TOR,NJN,2006,102.0,92.0,40.0,13.0,21.0,3.0,18.0,0.167,19.0,24.0,0.792,44.0,10.0,20.0,4.0,20.0,0.2,14.0,20.0,0.7,40.0,30.0,84.0,70.0,21.0,33.0,41.0,194.0,38.0,7.0
ORL vs. CHI,CHI,ORL,2006,109.0,94.0,38.0,11.0,9.0,6.0,8.0,0.75,33.0,42.0,0.786,44.0,10.0,17.0,6.0,20.0,0.3,14.0,24.0,0.583,32.0,30.0,82.0,62.0,36.0,47.0,26.0,203.0,28.0,12.0
CLE vs. WAS,WAS,CLE,2006,97.0,94.0,46.0,14.0,19.0,8.0,19.0,0.421,15.0,30.0,0.5,38.0,18.0,8.0,2.0,13.0,0.154,20.0,29.0,0.69,28.0,34.0,84.0,62.0,30.0,35.0,27.0,191.0,32.0,10.0
GSW vs. LAL,GSW,LAL,2006,98.0,110.0,44.0,16.0,19.0,3.0,19.0,0.158,27.0,42.0,0.643,56.0,21.0,11.0,5.0,17.0,0.294,27.0,41.0,0.659,24.0,22.0,100.0,46.0,24.0,54.0,30.0,208.0,36.0,8.0
PHX vs. LAC,LAC,PHX,2006,112.0,104.0,30.0,22.0,2.0,4.0,15.0,0.267,26.0,30.0,0.867,48.0,6.0,17.0,4.0,10.0,0.4,24.0,29.0,0.828,52.0,28.0,78.0,80.0,24.0,50.0,19.0,216.0,25.0,8.0
CHA vs. IND,CHA,IND,2006,99.0,106.0,52.0,13.0,21.0,4.0,10.0,0.4,21.0,32.0,0.656,48.0,15.0,23.0,6.0,16.0,0.375,30.0,41.0,0.732,22.0,22.0,100.0,44.0,30.0,51.0,44.0,205.0,26.0,10.0
PHI vs. ATL,PHI,ATL,2006,88.0,75.0,36.0,14.0,13.0,3.0,9.0,0.333,23.0,25.0,0.92,34.0,16.0,11.0,4.0,17.0,0.235,19.0,22.0,0.864,26.0,18.0,70.0,44.0,21.0,42.0,24.0,163.0,26.0,7.0
UTA vs. HOU,UTA,HOU,2006,107.0,97.0,34.0,18.0,10.0,3.0,10.0,0.3,26.0,31.0,0.839,26.0,9.0,6.0,10.0,22.0,0.455,23.0,36.0,0.639,44.0,38.0,60.0,82.0,39.0,49.0,16.0,204.0,32.0,13.0
DET vs. MIL,MIL,DET,2006,97.0,105.0,70.0,15.0,14.0,8.0,21.0,0.381,27.0,34.0,0.794,28.0,11.0,11.0,2.0,14.0,0.143,17.0,25.0,0.68,-8.0,58.0,98.0,50.0,30.0,44.0,25.0,202.0,35.0,10.0
BOS vs. NOK,BOS,NOK,2006,87.0,91.0,40.0,13.0,20.0,3.0,16.0,0.188,24.0,39.0,0.615,52.0,11.0,15.0,1.0,11.0,0.091,18.0,33.0,0.545,20.0,20.0,92.0,40.0,12.0,42.0,35.0,178.0,27.0,4.0
SEA vs. POR,SEA,POR,2006,106.0,110.0,56.0,18.0,24.0,6.0,19.0,0.316,18.0,20.0,0.9,54.0,11.0,8.0,2.0,10.0,0.2,28.0,35.0,0.8,26.0,26.0,110.0,52.0,24.0,46.0,32.0,216.0,29.0,8.0
MIN vs. SAC,MIN,SAC,2006,92.0,83.0,32.0,6.0,5.0,4.0,9.0,0.444,18.0,20.0,0.9,40.0,34.0,4.0,3.0,15.0,0.2,18.0,25.0,0.72,38.0,22.0,72.0,60.0,21.0,36.0,9.0,175.0,24.0,7.0
LAC vs. DEN,,,2006,96.0,95.0,,,,7.0,19.0,0.368,19.0,26.0,0.731,,,,4.0,23.0,0.174,23.0,30.0,0.767,,,,,33.0,42.0,,191.0,42.0,11.0
DAL vs. SAS,DAL,SAS,2006,91.0,97.0,30.0,12.0,4.0,5.0,16.0,0.313,10.0,16.0,0.625,34.0,9.0,8.0,4.0,11.0,0.364,25.0,37.0,0.676,46.0,34.0,64.0,80.0,27.0,35.0,12.0,188.0,27.0,9.0
BOS vs. DET,DET,BOS,2006,88.0,101.0,40.0,16.0,2.0,5.0,12.0,0.417,15.0,20.0,0.75,34.0,10.0,4.0,4.0,13.0,0.308,23.0,30.0,0.767,28.0,40.0,74.0,68.0,27.0,38.0,6.0,189.0,25.0,9.0
CHI vs. SAC,,,2006,88.0,89.0,,,,2.0,9.0,0.222,22.0,29.0,0.759,,,,5.0,15.0,0.333,30.0,37.0,0.811,,,,,21.0,52.0,,177.0,24.0,7.0
IND vs. NOK,IND,NOK,2006,91.0,100.0,26.0,16.0,7.0,7.0,26.0,0.269,20.0,24.0,0.833,40.0,19.0,14.0,3.0,14.0,0.214,23.0,27.0,0.852,38.0,34.0,66.0,72.0,30.0,43.0,21.0,191.0,40.0,10.0
MEM vs. CHA,MEM,CHA,2006,96.0,83.0,38.0,19.0,7.0,10.0,22.0,0.455,24.0,28.0,0.857,36.0,7.0,12.0,3.0,13.0,0.231,16.0,29.0,0.552,24.0,28.0,74.0,52.0,39.0,40.0,19.0,179.0,35.0,13.0
GSW vs. POR,GSW,POR,2006,102.0,89.0,58.0,20.0,30.0,5.0,11.0,0.455,21.0,31.0,0.677,26.0,17.0,10.0,9.0,25.0,0.36,16.0,19.0,0.842,18.0,38.0,84.0,56.0,42.0,37.0,40.0,191.0,36.0,14.0
LAL vs. SEA,SEA,LAL,2006,118.0,112.0,50.0,18.0,4.0,9.0,16.0,0.563,37.0,48.0,0.771,44.0,8.0,7.0,11.0,31.0,0.355,13.0,16.0,0.813,22.0,44.0,94.0,66.0,60.0,50.0,11.0,230.0,47.0,20.0
MIA vs. NJN,MIA,NJN,2006,91.0,85.0,46.0,8.0,10.0,5.0,16.0,0.313,16.0,23.0,0.696,28.0,7.0,18.0,6.0,20.0,0.3,19.0,22.0,0.864,24.0,32.0,74.0,56.0,33.0,35.0,28.0,176.0,36.0,11.0
ORL vs. PHI,ORL,PHI,2006,103.0,105.0,48.0,20.0,20.0,2.0,9.0,0.222,23.0,33.0,0.697,26.0,4.0,14.0,8.0,11.0,0.727,23.0,33.0,0.697,30.0,48.0,74.0,78.0,30.0,46.0,34.0,208.0,20.0,10.0
PHX vs. UTA,UTA,PHX,2006,104.0,108.0,44.0,16.0,8.0,9.0,31.0,0.29,31.0,35.0,0.886,36.0,8.0,21.0,4.0,9.0,0.444,28.0,34.0,0.824,20.0,40.0,80.0,60.0,39.0,59.0,29.0,212.0,40.0,13.0
SAS vs. CLE,SAS,CLE,2006,81.0,88.0,36.0,4.0,9.0,5.0,15.0,0.333,18.0,34.0,0.529,34.0,12.0,10.0,4.0,9.0,0.444,18.0,30.0,0.6,22.0,32.0,70.0,54.0,27.0,36.0,19.0,169.0,24.0,9.0
TOR vs. MIL,MIL,TOR,2006,109.0,92.0,46.0,8.0,10.0,9.0,21.0,0.429,6.0,10.0,0.6,46.0,17.0,12.0,5.0,20.0,0.25,11.0,14.0,0.786,48.0,30.0,92.0,78.0,42.0,17.0,22.0,201.0,41.0,14.0
HOU vs. DAL,DAL,HOU,2006,107.0,76.0,24.0,9.0,6.0,8.0,16.0,0.5,25.0,30.0,0.833,38.0,12.0,16.0,4.0,12.0,0.333,14.0,19.0,0.737,50.0,20.0,62.0,70.0,36.0,39.0,22.0,183.0,28.0,12.0
MIL vs. SAC,MIL,SAC,2006,104.0,91.0,42.0,10.0,16.0,9.0,17.0,0.529,19.0,23.0,0.826,38.0,14.0,7.0,4.0,20.0,0.2,19.0,27.0,0.704,34.0,30.0,80.0,64.0,39.0,38.0,23.0,195.0,37.0,13.0
WAS vs. BOS,WAS,BOS,2006,124.0,117.0,48.0,15.0,27.0,7.0,18.0,0.389,31.0,42.0,0.738,32.0,9.0,14.0,11.0,23.0,0.478,32.0,38.0,0.842,38.0,42.0,80.0,80.0,54.0,63.0,41.0,241.0,41.0,18.0
NYK vs. IND,IND,NYK,2006,95.0,109.0,54.0,12.0,14.0,4.0,17.0,0.235,23.0,30.0,0.767,52.0,19.0,8.0,8.0,19.0,0.421,9.0,11.0,0.818,14.0,40.0,106.0,54.0,36.0,32.0,22.0,204.0,36.0,12.0
CHA vs. CLE,CHA,CLE,2006,92.0,88.0,20.0,3.0,8.0,7.0,13.0,0.538,23.0,30.0,0.767,26.0,12.0,4.0,5.0,23.0,0.217,29.0,42.0,0.69,42.0,28.0,46.0,70.0,36.0,52.0,12.0,180.0,36.0,12.0
POR vs. MIN,,,2006,88.0,86.0,,,,6.0,14.0,0.429,12.0,18.0,0.667,,,,4.0,12.0,0.333,12.0,13.0,0.923,,,,,30.0,24.0,,174.0,26.0,10.0
UTA vs. GSW,GSW,UTA,2006,106.0,82.0,36.0,12.0,11.0,5.0,11.0,0.455,15.0,20.0,0.75,50.0,22.0,13.0,6.0,16.0,0.375,20.0,35.0,0.571,50.0,6.0,86.0,56.0,33.0,35.0,24.0,188.0,27.0,11.0
LAC vs. PHX,PHX,LAC,2006,114.0,108.0,48.0,8.0,10.0,1.0,12.0,0.083,31.0,45.0,0.689,62.0,20.0,2.0,11.0,27.0,0.407,17.0,21.0,0.81,34.0,18.0,110.0,52.0,36.0,48.0,12.0,222.0,39.0,12.0
DET vs. MEM,MEM,DET,2006,95.0,86.0,30.0,11.0,5.0,3.0,13.0,0.231,18.0,22.0,0.818,24.0,12.0,7.0,5.0,13.0,0.385,25.0,34.0,0.735,44.0,32.0,54.0,76.0,24.0,43.0,12.0,181.0,26.0,8.0
ATL vs. ORL,ORL,ATL,2006,95.0,82.0,34.0,12.0,7.0,3.0,7.0,0.429,30.0,35.0,0.857,28.0,13.0,11.0,2.0,11.0,0.182,18.0,29.0,0.621,28.0,34.0,62.0,62.0,15.0,48.0,18.0,177.0,18.0,5.0
TOR vs. SAS,SAS,TOR,2006,94.0,103.0,48.0,15.0,10.0,5.0,13.0,0.385,25.0,30.0,0.833,40.0,13.0,15.0,7.0,19.0,0.368,18.0,25.0,0.72,16.0,38.0,88.0,54.0,36.0,43.0,25.0,197.0,32.0,12.0
PHI vs. MIA,PHI,MIA,2006,107.0,98.0,30.0,15.0,15.0,9.0,18.0,0.5,26.0,35.0,0.743,30.0,13.0,12.0,10.0,21.0,0.476,16.0,26.0,0.615,42.0,42.0,60.0,84.0,57.0,42.0,27.0,205.0,39.0,19.0
NOK vs. HOU,HOU,NOK,2006,96.0,90.0,32.0,11.0,0.0,9.0,16.0,0.563,21.0,35.0,0.6,28.0,11.0,19.0,9.0,27.0,0.333,17.0,26.0,0.654,34.0,36.0,60.0,70.0,54.0,38.0,19.0,186.0,43.0,18.0
DAL vs. GSW,DAL,GSW,2006,104.0,107.0,44.0,7.0,19.0,11.0,30.0,0.367,17.0,22.0,0.773,32.0,12.0,15.0,10.0,23.0,0.435,25.0,31.0,0.806,32.0,40.0,76.0,72.0,63.0,42.0,34.0,211.0,53.0,21.0
SAC vs. MIN,SAC,MIN,2006,93.0,81.0,44.0,14.0,15.0,6.0,19.0,0.316,19.0,24.0,0.792,40.0,11.0,14.0,4.0,18.0,0.222,11.0,14.0,0.786,24.0,26.0,84.0,50.0,30.0,30.0,29.0,174.0,37.0,10.0
UTA vs. DET,UTA,DET,2006,103.0,101.0,40.0,17.0,6.0,5.0,10.0,0.5,18.0,24.0,0.75,38.0,20.0,6.0,5.0,15.0,0.333,32.0,41.0,0.78,40.0,26.0,78.0,66.0,30.0,50.0,12.0,204.0,25.0,10.0
NYK vs. SAS,NYK,SAS,2006,93.0,105.0,48.0,11.0,9.0,3.0,11.0,0.273,26.0,38.0,0.684,26.0,9.0,10.0,13.0,23.0,0.565,20.0,24.0,0.833,16.0,46.0,74.0,62.0,48.0,46.0,19.0,198.0,34.0,16.0
CHI vs. MIL,CHI,MIL,2006,110.0,85.0,44.0,10.0,24.0,5.0,15.0,0.333,13.0,18.0,0.722,40.0,10.0,8.0,4.0,22.0,0.182,17.0,18.0,0.944,48.0,24.0,84.0,72.0,27.0,30.0,32.0,195.0,37.0,9.0
ORL vs. WAS,ORL,WAS,2006,106.0,103.0,34.0,10.0,15.0,9.0,18.0,0.5,17.0,24.0,0.708,36.0,16.0,18.0,6.0,16.0,0.375,25.0,34.0,0.735,46.0,36.0,70.0,82.0,45.0,42.0,33.0,209.0,34.0,15.0
MEM vs. HOU,HOU,MEM,2006,80.0,86.0,36.0,14.0,6.0,6.0,20.0,0.3,14.0,17.0,0.824,26.0,15.0,2.0,3.0,18.0,0.167,27.0,30.0,0.9,24.0,30.0,62.0,54.0,27.0,41.0,8.0,166.0,38.0,9.0
NOK vs. GSW,GSW,NOK,2006,97.0,93.0,44.0,7.0,18.0,6.0,15.0,0.4,15.0,18.0,0.833,50.0,25.0,4.0,7.0,25.0,0.28,12.0,15.0,0.8,32.0,24.0,94.0,56.0,39.0,27.0,22.0,190.0,40.0,13.0
IND vs. PHI,IND,PHI,2006,97.0,86.0,42.0,15.0,13.0,7.0,18.0,0.389,16.0,20.0,0.8,44.0,10.0,16.0,1.0,7.0,0.143,11.0,17.0,0.647,32.0,30.0,86.0,62.0,24.0,27.0,29.0,183.0,25.0,8.0
CLE vs. ATL,ATL,CLE,2006,95.0,104.0,46.0,12.0,17.0,6.0,20.0,0.3,23.0,37.0,0.622,38.0,15.0,16.0,9.0,12.0,0.75,15.0,26.0,0.577,20.0,42.0,84.0,62.0,45.0,38.0,33.0,199.0,32.0,15.0
LAL vs. MIN,MIN,LAL,2006,95.0,88.0,50.0,17.0,14.0,5.0,20.0,0.25,20.0,27.0,0.741,50.0,14.0,4.0,2.0,12.0,0.167,18.0,21.0,0.857,20.0,18.0,100.0,38.0,21.0,38.0,18.0,183.0,32.0,7.0
BOS vs. CHA,,,2006,110.0,108.0,,,,7.0,17.0,0.412,25.0,31.0,0.806,,,,1.0,4.0,0.25,41.0,52.0,0.788,,,,,24.0,66.0,,218.0,21.0,8.0
LAC vs. DAL,LAC,DAL,2006,103.0,85.0,40.0,19.0,4.0,2.0,8.0,0.25,21.0,28.0,0.75,34.0,9.0,9.0,6.0,23.0,0.261,15.0,20.0,0.75,40.0,30.0,74.0,70.0,24.0,36.0,13.0,188.0,31.0,8.0
SAC vs. DET,SAC,DET,2006,99.0,86.0,40.0,9.0,11.0,4.0,15.0,0.267,27.0,32.0,0.844,26.0,7.0,15.0,8.0,23.0,0.348,22.0,28.0,0.786,28.0,30.0,66.0,58.0,36.0,49.0,26.0,185.0,38.0,12.0
MIL vs. HOU,MIL,HOU,2006,93.0,97.0,40.0,4.0,10.0,3.0,10.0,0.3,22.0,30.0,0.733,34.0,12.0,5.0,8.0,16.0,0.5,13.0,19.0,0.684,28.0,42.0,74.0,70.0,33.0,35.0,15.0,190.0,26.0,11.0
NJN vs. UTA,NJN,UTA,2006,96.0,89.0,34.0,10.0,9.0,7.0,19.0,0.368,31.0,40.0,0.775,36.0,8.0,0.0,3.0,15.0,0.2,20.0,27.0,0.741,24.0,30.0,70.0,54.0,30.0,51.0,9.0,185.0,34.0,10.0
DEN vs. NYK,DEN,NYK,2006,107.0,109.0,56.0,13.0,24.0,3.0,9.0,0.333,28.0,35.0,0.8,44.0,17.0,15.0,9.0,17.0,0.529,20.0,27.0,0.741,20.0,36.0,100.0,56.0,36.0,48.0,39.0,216.0,26.0,12.0
POR vs. LAL,POR,LAL,2006,101.0,90.0,46.0,8.0,10.0,4.0,14.0,0.286,27.0,33.0,0.818,40.0,7.0,2.0,6.0,21.0,0.286,18.0,23.0,0.783,24.0,26.0,86.0,50.0,30.0,45.0,12.0,191.0,35.0,10.0
WAS vs. IND,IND,WAS,2006,117.0,91.0,46.0,20.0,25.0,7.0,16.0,0.438,22.0,32.0,0.688,54.0,18.0,24.0,4.0,19.0,0.211,23.0,31.0,0.742,42.0,10.0,100.0,52.0,33.0,45.0,49.0,208.0,35.0,11.0
TOR vs. PHI,TOR,PHI,2006,106.0,104.0,40.0,15.0,15.0,7.0,19.0,0.368,23.0,29.0,0.793,54.0,15.0,7.0,3.0,12.0,0.25,15.0,20.0,0.75,36.0,32.0,94.0,68.0,30.0,38.0,22.0,210.0,31.0,10.0
GSW vs. NOK,NOK,GSW,2006,121.0,116.0,58.0,18.0,4.0,13.0,34.0,0.382,30.0,37.0,0.811,38.0,13.0,21.0,5.0,13.0,0.385,29.0,39.0,0.744,20.0,44.0,96.0,64.0,54.0,59.0,25.0,237.0,47.0,18.0
CLE vs. CHI,CHI,CLE,2006,113.0,94.0,42.0,12.0,14.0,8.0,14.0,0.571,15.0,18.0,0.833,38.0,10.0,7.0,7.0,16.0,0.438,7.0,10.0,0.7,48.0,42.0,80.0,90.0,45.0,22.0,21.0,207.0,30.0,15.0
NJN vs. MIA,NJN,MIA,2006,106.0,113.0,30.0,10.0,18.0,9.0,24.0,0.375,25.0,35.0,0.714,50.0,8.0,14.0,7.0,20.0,0.35,26.0,34.0,0.765,42.0,30.0,80.0,72.0,48.0,51.0,32.0,219.0,44.0,16.0
POR vs. NOK,NOK,POR,2006,92.0,91.0,34.0,18.0,5.0,4.0,15.0,0.267,32.0,40.0,0.8,36.0,22.0,4.0,5.0,18.0,0.278,14.0,16.0,0.875,22.0,36.0,70.0,58.0,27.0,46.0,9.0,183.0,33.0,9.0
BOS vs. UTA,BOS,UTA,2006,100.0,107.0,52.0,16.0,15.0,6.0,15.0,0.4,14.0,25.0,0.56,44.0,5.0,7.0,6.0,14.0,0.429,17.0,25.0,0.68,28.0,40.0,96.0,68.0,36.0,31.0,22.0,207.0,29.0,12.0
PHI vs. DEN,PHI,DEN,2006,101.0,108.0,38.0,12.0,12.0,3.0,13.0,0.231,20.0,25.0,0.8,48.0,16.0,14.0,6.0,18.0,0.333,22.0,28.0,0.786,40.0,32.0,86.0,72.0,27.0,42.0,26.0,209.0,31.0,9.0
CHA vs. SEA,CHA,SEA,2006,85.0,99.0,30.0,12.0,11.0,5.0,13.0,0.385,18.0,22.0,0.818,36.0,14.0,9.0,6.0,15.0,0.4,21.0,23.0,0.913,32.0,36.0,66.0,68.0,33.0,39.0,20.0,184.0,28.0,11.0
TOR vs. ATL,ATL,TOR,2006,102.0,111.0,52.0,21.0,6.0,9.0,19.0,0.474,11.0,16.0,0.688,46.0,12.0,25.0,8.0,25.0,0.32,21.0,28.0,0.75,30.0,36.0,98.0,66.0,51.0,32.0,31.0,213.0,44.0,17.0
WAS vs. MIL,MIL,WAS,2006,116.0,111.0,58.0,19.0,16.0,9.0,18.0,0.5,31.0,38.0,0.816,42.0,15.0,24.0,4.0,18.0,0.222,19.0,25.0,0.76,18.0,46.0,100.0,64.0,39.0,50.0,40.0,227.0,36.0,13.0
HOU vs. NYK,HOU,NYK,2006,103.0,94.0,44.0,17.0,6.0,11.0,26.0,0.423,12.0,17.0,0.706,42.0,8.0,16.0,6.0,19.0,0.316,18.0,25.0,0.72,36.0,28.0,86.0,64.0,51.0,30.0,22.0,197.0,45.0,17.0
ATL vs. SEA,,,2006,112.0,113.0,,,,9.0,28.0,0.321,21.0,33.0,0.636,,,,6.0,18.0,0.333,19.0,23.0,0.826,,,,,45.0,40.0,,225.0,46.0,15.0
CLE vs. BOS,CLE,BOS,2006,94.0,93.0,42.0,10.0,16.0,5.0,19.0,0.263,27.0,39.0,0.692,36.0,10.0,8.0,6.0,19.0,0.316,19.0,25.0,0.76,20.0,32.0,78.0,52.0,33.0,46.0,24.0,187.0,38.0,11.0
CHI vs. IND,CHI,IND,2006,89.0,80.0,34.0,28.0,10.0,6.0,15.0,0.4,21.0,27.0,0.778,26.0,5.0,7.0,8.0,18.0,0.444,14.0,17.0,0.824,28.0,32.0,60.0,60.0,42.0,35.0,17.0,169.0,33.0,14.0
MIL vs. UTA,UTA,MIL,2006,111.0,113.0,58.0,9.0,14.0,8.0,21.0,0.381,23.0,32.0,0.719,50.0,11.0,23.0,4.0,15.0,0.267,23.0,30.0,0.767,22.0,36.0,108.0,58.0,36.0,46.0,37.0,224.0,36.0,12.0
SAS vs. NYK,NYK,SAS,2006,100.0,92.0,56.0,8.0,20.0,5.0,17.0,0.294,21.0,38.0,0.553,40.0,15.0,9.0,2.0,10.0,0.2,18.0,24.0,0.75,18.0,32.0,96.0,50.0,21.0,39.0,29.0,192.0,27.0,7.0
PHX vs. MEM,MEM,PHX,2006,96.0,87.0,36.0,6.0,15.0,9.0,39.0,0.231,15.0,21.0,0.714,38.0,7.0,10.0,2.0,12.0,0.167,23.0,31.0,0.742,36.0,24.0,74.0,60.0,33.0,38.0,25.0,183.0,51.0,11.0
GSW vs. DET,DET,GSW,2006,111.0,79.0,38.0,13.0,6.0,12.0,21.0,0.571,13.0,25.0,0.52,50.0,12.0,28.0,4.0,17.0,0.235,9.0,18.0,0.5,48.0,16.0,88.0,64.0,48.0,22.0,34.0,190.0,38.0,16.0
MIA vs. HOU,MIA,HOU,2006,72.0,94.0,38.0,14.0,7.0,4.0,17.0,0.235,12.0,21.0,0.571,34.0,13.0,3.0,7.0,23.0,0.304,17.0,22.0,0.773,18.0,36.0,72.0,54.0,33.0,29.0,10.0,166.0,40.0,11.0
POR vs. DAL,DAL,POR,2006,96.0,103.0,40.0,10.0,16.0,5.0,15.0,0.333,21.0,22.0,0.955,40.0,12.0,8.0,7.0,17.0,0.412,20.0,23.0,0.87,30.0,36.0,80.0,66.0,36.0,41.0,24.0,199.0,32.0,12.0
WAS vs. NJN,WAS,NJN,2006,93.0,105.0,34.0,15.0,14.0,7.0,27.0,0.259,20.0,27.0,0.741,38.0,6.0,18.0,9.0,20.0,0.45,16.0,21.0,0.762,32.0,42.0,72.0,74.0,48.0,36.0,32.0,198.0,47.0,16.0
SAC vs. TOR,TOR,SAC,2006,107.0,92.0,34.0,14.0,21.0,6.0,22.0,0.273,27.0,31.0,0.871,30.0,8.0,12.0,6.0,24.0,0.25,16.0,19.0,0.842,40.0,40.0,64.0,80.0,36.0,43.0,33.0,199.0,46.0,12.0
CHA vs. DEN,CHA,DEN,2006,101.0,108.0,52.0,23.0,14.0,2.0,15.0,0.133,21.0,30.0,0.7,54.0,15.0,15.0,4.0,16.0,0.25,26.0,34.0,0.765,26.0,24.0,106.0,50.0,18.0,47.0,29.0,209.0,31.0,6.0
LAL vs. MEM,LAL,MEM,2006,91.0,81.0,46.0,15.0,10.0,4.0,16.0,0.25,15.0,19.0,0.789,26.0,18.0,4.0,7.0,21.0,0.333,18.0,26.0,0.692,26.0,30.0,72.0,56.0,33.0,33.0,14.0,172.0,37.0,11.0
NJN vs. SEA,SEA,NJN,2006,113.0,119.0,46.0,26.0,10.0,8.0,19.0,0.421,23.0,27.0,0.852,52.0,11.0,7.0,7.0,23.0,0.304,24.0,29.0,0.828,36.0,36.0,98.0,72.0,45.0,47.0,17.0,232.0,42.0,15.0
NYK vs. CLE,CLE,NYK,2006,96.0,102.0,42.0,14.0,23.0,4.0,16.0,0.25,14.0,18.0,0.778,50.0,12.0,12.0,10.0,21.0,0.476,20.0,30.0,0.667,36.0,22.0,92.0,58.0,42.0,34.0,35.0,198.0,37.0,14.0
BOS vs. ORL,BOS,ORL,2006,89.0,92.0,28.0,14.0,7.0,7.0,14.0,0.5,20.0,28.0,0.714,46.0,14.0,10.0,0.0,8.0,0.0,16.0,25.0,0.64,34.0,30.0,74.0,64.0,21.0,36.0,17.0,181.0,22.0,7.0
NOK vs. CHA,CHA,NOK,2006,94.0,85.0,46.0,12.0,7.0,7.0,16.0,0.438,17.0,26.0,0.654,30.0,12.0,10.0,2.0,7.0,0.286,13.0,23.0,0.565,24.0,40.0,76.0,64.0,27.0,30.0,17.0,179.0,23.0,9.0
MIA vs. DEN,DEN,MIA,2006,105.0,112.0,54.0,21.0,18.0,14.0,30.0,0.467,23.0,28.0,0.821,36.0,11.0,19.0,6.0,27.0,0.222,26.0,29.0,0.897,14.0,44.0,90.0,58.0,60.0,49.0,37.0,217.0,57.0,20.0
HOU vs. SAS,HOU,SAS,2006,84.0,92.0,30.0,11.0,14.0,10.0,23.0,0.435,10.0,18.0,0.556,44.0,12.0,8.0,7.0,13.0,0.538,13.0,17.0,0.765,34.0,28.0,74.0,62.0,51.0,23.0,22.0,176.0,36.0,17.0
MIN vs. POR,POR,MIN,2006,101.0,89.0,32.0,5.0,6.0,3.0,8.0,0.375,22.0,30.0,0.733,38.0,10.0,4.0,5.0,10.0,0.5,22.0,31.0,0.71,44.0,24.0,70.0,68.0,24.0,44.0,10.0,190.0,18.0,8.0
DAL vs. CHI,DAL,CHI,2006,111.0,99.0,46.0,17.0,6.0,7.0,23.0,0.304,24.0,24.0,1.0,36.0,21.0,13.0,3.0,10.0,0.3,18.0,30.0,0.6,34.0,42.0,82.0,76.0,30.0,42.0,19.0,210.0,33.0,10.0
ATL vs. MIL,,,2006,101.0,103.0,,,,8.0,23.0,0.348,17.0,22.0,0.773,,,,4.0,11.0,0.364,25.0,37.0,0.676,,,,,36.0,42.0,,204.0,34.0,12.0
UTA vs. LAC,LAC,UTA,2006,112.0,90.0,34.0,10.0,19.0,3.0,11.0,0.273,25.0,34.0,0.735,54.0,20.0,5.0,2.0,7.0,0.286,26.0,38.0,0.684,50.0,8.0,88.0,58.0,15.0,51.0,24.0,202.0,18.0,5.0
CLE vs. POR,CLE,POR,2006,100.0,87.0,38.0,7.0,23.0,4.0,19.0,0.211,28.0,36.0,0.778,34.0,20.0,4.0,4.0,17.0,0.235,23.0,35.0,0.657,30.0,26.0,72.0,56.0,24.0,51.0,27.0,187.0,36.0,8.0
NYK vs. WAS,NYK,WAS,2006,102.0,82.0,46.0,26.0,8.0,9.0,25.0,0.36,19.0,28.0,0.679,32.0,8.0,4.0,0.0,15.0,0.0,36.0,40.0,0.9,28.0,14.0,78.0,42.0,27.0,55.0,12.0,184.0,40.0,9.0
SAS vs. CHA,SAS,CHA,2006,92.0,95.0,50.0,21.0,15.0,2.0,17.0,0.118,18.0,22.0,0.818,34.0,20.0,14.0,4.0,9.0,0.444,11.0,19.0,0.579,22.0,46.0,84.0,68.0,18.0,29.0,29.0,187.0,26.0,6.0
SEA vs. PHI,PHI,SEA,2006,90.0,96.0,48.0,15.0,11.0,5.0,21.0,0.238,15.0,23.0,0.652,28.0,17.0,5.0,3.0,5.0,0.6,25.0,31.0,0.806,22.0,40.0,76.0,62.0,24.0,40.0,16.0,186.0,26.0,8.0
SAC vs. MEM,MEM,SAC,2006,115.0,111.0,38.0,12.0,23.0,11.0,20.0,0.55,16.0,23.0,0.696,32.0,15.0,4.0,9.0,20.0,0.45,24.0,31.0,0.774,50.0,46.0,70.0,96.0,60.0,40.0,27.0,226.0,40.0,20.0
